Red ID,Blue ID,Field,Combat,R1 Red,R1 Blue,R1 Winner,R2 Red,R2 Blue,R2 Winner,Status
P001,P002,1,1,12,5,,9,7,,Finished
P003,P004,1,2,6,6,Blue,8,4,Blue,Finished
P001,P003,1,3,8,6,,3,3,,Ongoing
P002,P004,1,4,,,,,,,Scheduled
P001,P004,1,5,,,,,,,Scheduled
P002,P003,1,6,,,,,,,Scheduled
P005,P006,2,1,10,4,,11,9,,Finished
P007,P008,2,2,7,9,,5,12,,Ongoing
P005,P007,2,3,,,,,,,Scheduled
P006,P008,2,4,,,,,,,Scheduled
P005,P008,2,5,,,,,,,Scheduled
P006,P007,2,6,,,,,,,Cancelled
P009,P010,2,7,9,8,,6,10,,Finished
P010,P011,2,8,11,3,,8,6,,Finished
P011,P009,2,9,,,,,,,Scheduled
P009,P010,2,10,,,,,,,Scheduled
P009,P011,2,11,,,,,,,Scheduled
