Club,Code
Associacio Hapkido Figueres,AHF
Balmes Rubi,BR
Bam Chun Horta,BCH
Bam Chun Viladecans,BCV
Chois Vilafranca,CV
Chongdokim,CH
Corbera,CO
Crazy Jumpers,CJ
Deportivo Tonbal,DT
Dojang,D
Esport Rogent,ER
Gimnas Seul,GS
Gym Studio Fran Martin,GSFM
Hyun Su Vallirana,HSV
Jan Su Figueres,JSF
Kimyeong Castelldefels,KC
Lee Young Martorell,LYM
Ohana Tkd School,OTS
Sant Pau Jade Taekwondo Centre,SPJTC
Sprint Viladecans,SV
Taechunkwon,T
Taekwondo Damian,TD
Taekwondo Mes Tordera,TMT
Taekwondo Solsona,TSOL
Taekwondo Sonbae,TSON
Taekwondo Viro,TVIR
Taekwondo Viturtia,TVIT
Tkd Avellaneda,TA
Tkd Castellet,TCA
Tkd Cubelles,TCU
Tkd Jorsan,TJ
Tkd La Jonquera,TLJ
Tkd Llagostera,TL
Tkd Ribes,TR
Tkd Venzala,TVEN
Toledo Dong Yang,TDY
