Red ID,Blue ID,Field,Combat,R1 Red,R1 Blue,R1 Winner,R2 Red,R2 Blue,R2 Winner,Status
HC-OTS-1,JB-TMT-1,1,1,,,,,,,Scheduled
HB-SV-1,TS-SPJTC-1,1,2,,,,,,,Scheduled
JO-SPJTC-1,AE-TA-1,1,3,,,,,,,Scheduled
HC-OTS-1,HB-SV-1,1,4,,,,,,,Scheduled
JB-TMT-1,TS-SPJTC-1,1,5,,,,,,,Scheduled
JO-SPJTC-1,YH-JSF-1,1,6,,,,,,,Scheduled
AE-TA-1,DV-ER-1,1,7,,,,,,,Scheduled
HC-OTS-1,TS-SPJTC-1,1,8,,,,,,,Scheduled
JB-TMT-1,HB-SV-1,1,9,,,,,,,Scheduled
JO-SPJTC-1,DV-ER-1,1,10,,,,,,,Scheduled
AE-TA-1,YH-JSF-1,1,11,,,,,,,Scheduled
NP-BCV-1,HR-TMT-1,1,12,,,,,,,Scheduled
YH-JSF-1,DV-ER-1,1,13,,,,,,,Scheduled
NP-BCV-1,IM-TSOL-1,1,14,,,,,,,Scheduled
HR-TMT-1,AV-BR-1,1,15,,,,,,,Scheduled
JC-GSFM-1,OV-OTS-1,1,16,,,,,,,Scheduled
NP-BCV-1,AV-BR-1,1,17,,,,,,,Scheduled
HR-TMT-1,IM-TSOL-1,1,18,,,,,,,Scheduled
JC-GSFM-1,GS-CO-1,1,19,,,,,,,Scheduled
OV-OTS-1,RM-JSF-1,1,20,,,,,,,Scheduled
IM-TSOL-1,AV-BR-1,1,21,,,,,,,Scheduled
JC-GSFM-1,RM-JSF-1,1,22,,,,,,,Scheduled
OV-OTS-1,GS-CO-1,1,23,,,,,,,Scheduled
XH-OTS-1,ED-GSFM-1,1,24,,,,,,,Scheduled
GS-CO-1,RM-JSF-1,1,25,,,,,,,Scheduled
XH-OTS-1,IB-JSF-1,1,26,,,,,,,Scheduled
ED-GSFM-1,EA-HSV-1,1,27,,,,,,,Scheduled
JL-GS-1,BC-TD-1,1,28,,,,,,,Scheduled
XH-OTS-1,EA-HSV-1,1,29,,,,,,,Scheduled
YI-JSF-1,OD-TSON-1,1,30,,,,,,,Scheduled
ED-GSFM-1,IB-JSF-1,1,31,,,,,,,Scheduled
JL-GS-1,YI-JSF-1,1,32,,,,,,,Scheduled
BC-TD-1,OD-TSON-1,1,33,,,,,,,Scheduled
IB-JSF-1,EA-HSV-1,1,34,,,,,,,Scheduled
JL-GS-1,OD-TSON-1,1,35,,,,,,,Scheduled
BC-TD-1,YI-JSF-1,1,36,,,,,,,Scheduled
CP-SPJTC-1,JG-TA-1,2,1,,,,,,,Scheduled
AH-CO-1,IP-TVIT-1,2,2,,,,,,,Scheduled
MC-TD-1,EM-TJ-1,2,3,,,,,,,Scheduled
CP-SPJTC-1,AH-CO-1,2,4,,,,,,,Scheduled
JG-TA-1,IP-TVIT-1,2,5,,,,,,,Scheduled
MC-TD-1,MD-SPJTC-1,2,6,,,,,,,Scheduled
EM-TJ-1,NG-TA-1,2,7,,,,,,,Scheduled
CP-SPJTC-1,IP-TVIT-1,2,8,,,,,,,Scheduled
JG-TA-1,AH-CO-1,2,9,,,,,,,Scheduled
MC-TD-1,NG-TA-1,2,10,,,,,,,Scheduled
EM-TJ-1,MD-SPJTC-1,2,11,,,,,,,Scheduled
NC-TVEN-1,LC-AHF-1,2,12,,,,,,,Scheduled
MD-SPJTC-1,NG-TA-1,2,13,,,,,,,Scheduled
NC-TVEN-1,UL-LYM-1,2,14,,,,,,,Scheduled
LC-AHF-1,GC-TCA-1,2,15,,,,,,,Scheduled
OS-HSV-1,DC-TCU-1,2,16,,,,,,,Scheduled
NC-TVEN-1,GC-TCA-1,2,17,,,,,,,Scheduled
LC-AHF-1,UL-LYM-1,2,18,,,,,,,Scheduled
OS-HSV-1,AS-CO-1,2,19,,,,,,,Scheduled
DC-TCU-1,AM-TSON-1,2,20,,,,,,,Scheduled
UL-LYM-1,GC-TCA-1,2,21,,,,,,,Scheduled
OS-HSV-1,AM-TSON-1,2,22,,,,,,,Scheduled
DC-TCU-1,AS-CO-1,2,23,,,,,,,Scheduled
HT-KC-1,KA-SPJTC-1,2,24,,,,,,,Scheduled
AS-CO-1,AM-TSON-1,2,25,,,,,,,Scheduled
HT-KC-1,LA-TMT-1,2,26,,,,,,,Scheduled
KA-SPJTC-1,KC-TVIT-1,2,27,,,,,,,Scheduled
D-TR-1,LS-TCU-1,2,28,,,,,,,Scheduled
HT-KC-1,KC-TVIT-1,2,29,,,,,,,Scheduled
LP-TCU-1,GS-D-1,2,30,,,,,,,Scheduled
KA-SPJTC-1,LA-TMT-1,2,31,,,,,,,Scheduled
D-TR-1,LP-TCU-1,2,32,,,,,,,Scheduled
LS-TCU-1,GS-D-1,2,33,,,,,,,Scheduled
LA-TMT-1,KC-TVIT-1,2,34,,,,,,,Scheduled
D-TR-1,GS-D-1,2,35,,,,,,,Scheduled
LS-TCU-1,LP-TCU-1,2,36,,,,,,,Scheduled
LL-CV-1,AM-TMT-1,3,1,,,,,,,Scheduled
DG-TSOL-1,DQ-SPJTC-1,3,2,,,,,,,Scheduled
AC-TSOL-1,IJ-TL-1,3,3,,,,,,,Scheduled
LL-CV-1,DG-TSOL-1,3,4,,,,,,,Scheduled
AM-TMT-1,DQ-SPJTC-1,3,5,,,,,,,Scheduled
AC-TSOL-1,IF-TD-1,3,6,,,,,,,Scheduled
IJ-TL-1,EM-ER-1,3,7,,,,,,,Scheduled
LL-CV-1,DQ-SPJTC-1,3,8,,,,,,,Scheduled
AM-TMT-1,DG-TSOL-1,3,9,,,,,,,Scheduled
AC-TSOL-1,EM-ER-1,3,10,,,,,,,Scheduled
IJ-TL-1,IF-TD-1,3,11,,,,,,,Scheduled
WC-TSOL-1,ST-CV-1,3,12,,,,,,,Scheduled
IF-TD-1,EM-ER-1,3,13,,,,,,,Scheduled
WC-TSOL-1,AM-TSOL-1,3,14,,,,,,,Scheduled
ST-CV-1,XP-ER-1,3,15,,,,,,,Scheduled
DS-TR-1,MC-KC-1,3,16,,,,,,,Scheduled
WC-TSOL-1,XP-ER-1,3,17,,,,,,,Scheduled
ST-CV-1,AM-TSOL-1,3,18,,,,,,,Scheduled
DS-TR-1,AC-TD-1,3,19,,,,,,,Scheduled
MC-KC-1,SP-TSON-1,3,20,,,,,,,Scheduled
AM-TSOL-1,XP-ER-1,3,21,,,,,,,Scheduled
DS-TR-1,SP-TSON-1,3,22,,,,,,,Scheduled
MC-KC-1,AC-TD-1,3,23,,,,,,,Scheduled
MV-LYM-1,MM-D-1,3,24,,,,,,,Scheduled
AC-TD-1,SP-TSON-1,3,25,,,,,,,Scheduled
MV-LYM-1,MA-CH-1,3,26,,,,,,,Scheduled
MM-D-1,ER-OTS-1,3,27,,,,,,,Scheduled
LD-CH-1,LC-GS-1,3,28,,,,,,,Scheduled
MV-LYM-1,ER-OTS-1,3,29,,,,,,,Scheduled
AR-BR-1,CF-SPJTC-1,3,30,,,,,,,Scheduled
MM-D-1,MA-CH-1,3,31,,,,,,,Scheduled
LD-CH-1,AR-BR-1,3,32,,,,,,,Scheduled
LC-GS-1,CF-SPJTC-1,3,33,,,,,,,Scheduled
MA-CH-1,ER-OTS-1,3,34,,,,,,,Scheduled
LD-CH-1,CF-SPJTC-1,3,35,,,,,,,Scheduled
LC-GS-1,AR-BR-1,3,36,,,,,,,Scheduled
EG-TCU-1,NM-LYM-1,4,1,,,,,,,Scheduled
MD-SPJTC-2,AC-CH-1,4,2,,,,,,,Scheduled
CS-CH-1,OC-LYM-1,4,3,,,,,,,Scheduled
EG-TCU-1,MD-SPJTC-2,4,4,,,,,,,Scheduled
NM-LYM-1,AC-CH-1,4,5,,,,,,,Scheduled
CS-CH-1,OH-LYM-1,4,6,,,,,,,Scheduled
OC-LYM-1,CN-TVIT-1,4,7,,,,,,,Scheduled
EG-TCU-1,AC-CH-1,4,8,,,,,,,Scheduled
NM-LYM-1,MD-SPJTC-2,4,9,,,,,,,Scheduled
CS-CH-1,CN-TVIT-1,4,10,,,,,,,Scheduled
OC-LYM-1,OH-LYM-1,4,11,,,,,,,Scheduled
ON-TD-1,JM-TD-1,4,12,,,,,,,Scheduled
OH-LYM-1,CN-TVIT-1,4,13,,,,,,,Scheduled
ON-TD-1,JF-SPJTC-1,4,14,,,,,,,Scheduled
JM-TD-1,UD-TA-1,4,15,,,,,,,Scheduled
MC-GSFM-1,AS-GSFM-1,4,16,,,,,,,Scheduled
ON-TD-1,UD-TA-1,4,17,,,,,,,Scheduled
JM-TD-1,JF-SPJTC-1,4,18,,,,,,,Scheduled
MC-GSFM-1,AE-CV-1,4,19,,,,,,,Scheduled
AS-GSFM-1,GA-CV-1,4,20,,,,,,,Scheduled
JF-SPJTC-1,UD-TA-1,4,21,,,,,,,Scheduled
MC-GSFM-1,GA-CV-1,4,22,,,,,,,Scheduled
AS-GSFM-1,AE-CV-1,4,23,,,,,,,Scheduled
IB-TMT-1,AM-ER-1,4,24,,,,,,,Scheduled
AE-CV-1,GA-CV-1,4,25,,,,,,,Scheduled
IB-TMT-1,MG-TA-1,4,26,,,,,,,Scheduled
AM-ER-1,AV-D-1,4,27,,,,,,,Scheduled
LZ-TCA-1,BL-KC-1,4,28,,,,,,,Scheduled
IB-TMT-1,AV-D-1,4,29,,,,,,,Scheduled
JR-TD-1,HR-TDY-1,4,30,,,,,,,Scheduled
AM-ER-1,MG-TA-1,4,31,,,,,,,Scheduled
LZ-TCA-1,JR-TD-1,4,32,,,,,,,Scheduled
BL-KC-1,HR-TDY-1,4,33,,,,,,,Scheduled
MG-TA-1,AV-D-1,4,34,,,,,,,Scheduled
LZ-TCA-1,HR-TDY-1,4,35,,,,,,,Scheduled
BL-KC-1,JR-TD-1,4,36,,,,,,,Scheduled
LS-CV-1,SL-BCV-1,5,1,,,,,,,Scheduled
ML-CO-1,CN-TSOL-1,5,2,,,,,,,Scheduled
IC-CJ-1,NP-SPJTC-1,5,3,,,,,,,Scheduled
LS-CV-1,ML-CO-1,5,4,,,,,,,Scheduled
SL-BCV-1,CN-TSOL-1,5,5,,,,,,,Scheduled
IC-CJ-1,AE-TMT-1,5,6,,,,,,,Scheduled
NP-SPJTC-1,NC-TA-1,5,7,,,,,,,Scheduled
LS-CV-1,CN-TSOL-1,5,8,,,,,,,Scheduled
SL-BCV-1,ML-CO-1,5,9,,,,,,,Scheduled
IC-CJ-1,NC-TA-1,5,10,,,,,,,Scheduled
NP-SPJTC-1,AE-TMT-1,5,11,,,,,,,Scheduled
UG-AHF-1,EM-LYM-1,5,12,,,,,,,Scheduled
AE-TMT-1,NC-TA-1,5,13,,,,,,,Scheduled
UG-AHF-1,VA-CO-1,5,14,,,,,,,Scheduled
EM-LYM-1,MR-TCA-1,5,15,,,,,,,Scheduled
GJ-T-1,HE-HSV-1,5,16,,,,,,,Scheduled
UG-AHF-1,MR-TCA-1,5,17,,,,,,,Scheduled
EM-LYM-1,VA-CO-1,5,18,,,,,,,Scheduled
GJ-T-1,MS-ER-1,5,19,,,,,,,Scheduled
HE-HSV-1,NB-TA-1,5,20,,,,,,,Scheduled
VA-CO-1,MR-TCA-1,5,21,,,,,,,Scheduled
GJ-T-1,NB-TA-1,5,22,,,,,,,Scheduled
HE-HSV-1,MS-ER-1,5,23,,,,,,,Scheduled
NB-TVIT-1,BA-TSON-1,5,24,,,,,,,Scheduled
MS-ER-1,NB-TA-1,5,25,,,,,,,Scheduled
NB-TVIT-1,O-TR-1,5,26,,,,,,,Scheduled
BA-TSON-1,AM-OTS-1,5,27,,,,,,,Scheduled
AA-KC-1,BR-KC-1,5,28,,,,,,,Scheduled
NB-TVIT-1,AM-OTS-1,5,29,,,,,,,Scheduled
SH-BCH-1,LS-DT-1,5,30,,,,,,,Scheduled
BA-TSON-1,O-TR-1,5,31,,,,,,,Scheduled
AA-KC-1,SH-BCH-1,5,32,,,,,,,Scheduled
BR-KC-1,LS-DT-1,5,33,,,,,,,Scheduled
O-TR-1,AM-OTS-1,5,34,,,,,,,Scheduled
AA-KC-1,LS-DT-1,5,35,,,,,,,Scheduled
BR-KC-1,SH-BCH-1,5,36,,,,,,,Scheduled
JH-GSFM-1,NV-CO-1,6,1,,,,,,,Scheduled
IC-HSV-1,NC-BCH-1,6,2,,,,,,,Scheduled
HC-BCH-1,SD-TJ-1,6,3,,,,,,,Scheduled
JH-GSFM-1,IC-HSV-1,6,4,,,,,,,Scheduled
NV-CO-1,NC-BCH-1,6,5,,,,,,,Scheduled
HC-BCH-1,LR-JSF-1,6,6,,,,,,,Scheduled
SD-TJ-1,IR-TA-1,6,7,,,,,,,Scheduled
JH-GSFM-1,NC-BCH-1,6,8,,,,,,,Scheduled
NV-CO-1,IC-HSV-1,6,9,,,,,,,Scheduled
HC-BCH-1,IR-TA-1,6,10,,,,,,,Scheduled
SD-TJ-1,LR-JSF-1,6,11,,,,,,,Scheduled
ML-TVEN-1,ES-TLJ-1,6,12,,,,,,,Scheduled
EA-TVIR-1,MS-CO-1,6,13,,,,,,,Scheduled
LR-JSF-1,IR-TA-1,6,14,,,,,,,Scheduled
ML-TVEN-1,EA-TVIR-1,6,15,,,,,,,Scheduled
ES-TLJ-1,MS-CO-1,6,16,,,,,,,Scheduled
EO-BR-1,MS-CO-2,6,17,,,,,,,Scheduled
ML-TVEN-1,MS-CO-1,6,18,,,,,,,Scheduled
ES-TLJ-1,EA-TVIR-1,6,19,,,,,,,Scheduled
EO-BR-1,ES-T-1,6,20,,,,,,,Scheduled
MS-CO-2,ZK-CH-1,6,21,,,,,,,Scheduled
ES-DT-1,NR-TD-1,6,22,,,,,,,Scheduled
EO-BR-1,ZK-CH-1,6,23,,,,,,,Scheduled
PP-CO-1,HC-CO-1,6,24,,,,,,,Scheduled
MS-CO-2,ES-T-1,6,25,,,,,,,Scheduled
ES-DT-1,PP-CO-1,6,26,,,,,,,Scheduled
NR-TD-1,HC-CO-1,6,27,,,,,,,Scheduled
ES-T-1,ZK-CH-1,6,28,,,,,,,Scheduled
ES-DT-1,HC-CO-1,6,29,,,,,,,Scheduled
NR-TD-1,PP-CO-1,6,30,,,,,,,Scheduled
GM-CH-1,AN-TCA-1,7,1,,,,,,,Scheduled
ED-TL-1,IS-DT-1,7,2,,,,,,,Scheduled
LG-CO-1,LA-CO-1,7,3,,,,,,,Scheduled
GM-CH-1,ED-TL-1,7,4,,,,,,,Scheduled
AN-TCA-1,IS-DT-1,7,5,,,,,,,Scheduled
LG-CO-1,LM-SPJTC-1,7,6,,,,,,,Scheduled
LA-CO-1,CM-TMT-1,7,7,,,,,,,Scheduled
GM-CH-1,IS-DT-1,7,8,,,,,,,Scheduled
AN-TCA-1,ED-TL-1,7,9,,,,,,,Scheduled
LG-CO-1,CM-TMT-1,7,10,,,,,,,Scheduled
LA-CO-1,LM-SPJTC-1,7,11,,,,,,,Scheduled
IL-CV-1,RJ-GS-1,7,12,,,,,,,Scheduled
NM-CO-1,KL-TR-1,7,13,,,,,,,Scheduled
LM-SPJTC-1,CM-TMT-1,7,14,,,,,,,Scheduled
IL-CV-1,NM-CO-1,7,15,,,,,,,Scheduled
RJ-GS-1,KL-TR-1,7,16,,,,,,,Scheduled
AA-CO-1,LC-TR-1,7,17,,,,,,,Scheduled
IL-CV-1,KL-TR-1,7,18,,,,,,,Scheduled
RJ-GS-1,NM-CO-1,7,19,,,,,,,Scheduled
AA-CO-1,NM-ER-1,7,20,,,,,,,Scheduled
LC-TR-1,ZR-TMT-1,7,21,,,,,,,Scheduled
ME-TD-1,KB-BR-1,7,22,,,,,,,Scheduled
AA-CO-1,ZR-TMT-1,7,23,,,,,,,Scheduled
IR-TD-1,ES-TCA-1,7,24,,,,,,,Scheduled
LC-TR-1,NM-ER-1,7,25,,,,,,,Scheduled
ME-TD-1,IR-TD-1,7,26,,,,,,,Scheduled
KB-BR-1,ES-TCA-1,7,27,,,,,,,Scheduled
NM-ER-1,ZR-TMT-1,7,28,,,,,,,Scheduled
ME-TD-1,ES-TCA-1,7,29,,,,,,,Scheduled
KB-BR-1,IR-TD-1,7,30,,,,,,,Scheduled
