Group ID,Age,Sex,Weight,Level,Pool
G01,,Masculino,,,
G02,,Masculino,,,
G03,,Masculino,,,
G04,,Masculino,,,
G05,,Masculino,,,
G06,,Masculino,,,
G07,,Masculino,,,
G08,,Masculino,,,
G09,,Masculino,,,
G10,,Masculino,,,
G11,,Masculino,,,
G12,,Masculino,,,
G13,,Masculino,,,
G14,,Masculino,,,
G15,,Masculino,,,
G16,,Masculino,,,
G17,,Masculino,,,
G18,,Femenino,,,
G19,,Femenino,,,
G20,,Femenino,,,
G21,,Femenino,,,
G22,,Femenino,,,
G23,,Femenino,,,
G24,,Femenino,,,
G25,,Femenino,,,
G26,,Femenino,,,
G27,,Femenino,,,
G28,,Femenino,,,
G29,,Femenino,,,
G30,,Masculino,,,
G31,,Masculino,,,
G32,,Masculino,,,
G33,,Masculino,,,
G34,,Masculino,,,
G35,,Masculino,,,
G36,,Masculino,,,
G37,,Masculino,,,
G38,,Masculino,,,
G39,,Masculino,,,
G40,,Masculino,,,
G41,,Masculino,,,
G42,,Masculino,,,
G43,,Masculino,,,
G44,,Masculino,,,
G45,,Masculino,,,
G46,,Masculino,,,
G47,,Masculino,,,
G48,,Masculino,,,
G49,,Masculino,,,
G50,,Masculino,,,
G51,,Masculino,,,
G52,,Femenino,,,
G53,,Femenino,,,
G54,,Femenino,,,
G55,,Femenino,,,
G56,,Femenino,,,
G57,,Femenino,,,
G58,,Femenino,,,
G59,,Femenino,,,
G60,,Femenino,,,
G61,,Femenino,,,
